               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10107,            0.029527,            0.084462,             0.03452,            0.072464,            0.017359,           0.0019953,            0.044207,            0.021272,            0.055406,           0.0032353,           0.0032353,            0.070882
                   1,            0.064613,              0.0255,            0.077006,            0.063424,             0.27536,            0.033718,           0.0098367,            0.053562,             0.01271,            0.052815,            0.006547,            0.006547,            0.040861
                   2,            0.064319,            0.022884,            0.075764,            0.058909,             0.24202,            0.074945,            0.022306,            0.039044,            0.012892,            0.051563,           0.0098366,           0.0098366,            0.010817
                   3,            0.057833,            0.019814,            0.074065,            0.034721,              0.6087,             0.12441,            0.052832,            0.037456,            0.011599,            0.049777,            0.009901,            0.009901,            0.009901
                   4,            0.053199,            0.017233,             0.07087,            0.077858,             0.18952,             0.10919,            0.046351,            0.030632,            0.013553,            0.049106,            0.009901,            0.009901,            0.009901
                   5,            0.052243,            0.016707,            0.069581,             0.02762,             0.36232,            0.067085,            0.031919,            0.035262,            0.011529,            0.048798,            0.009868,            0.009868,            0.009868
                   6,            0.051614,            0.016231,            0.071445,              0.6201,             0.18045,             0.15009,            0.057827,            0.036682,            0.010912,            0.049473,            0.009835,            0.009835,            0.009835
                   7,            0.045062,            0.015536,            0.067092,             0.14381,             0.23487,             0.15593,            0.069435,            0.037086,           0.0088813,            0.047412,            0.009802,            0.009802,            0.009802
                   8,            0.047251,            0.013922,            0.063384,             0.60784,             0.18836,             0.21001,            0.099478,            0.027834,             0.01264,            0.046243,            0.009769,            0.009769,            0.009769
                   9,            0.044424,            0.013683,            0.065148,             0.17791,             0.32076,               0.258,             0.14531,            0.026782,            0.011417,            0.044849,            0.009736,            0.009736,            0.009736
                  10,             0.04237,            0.013978,            0.064653,             0.19147,             0.66753,              0.3807,             0.22861,            0.024252,           0.0080865,            0.043155,            0.009703,            0.009703,            0.009703
                  11,            0.041944,            0.013452,            0.063606,             0.17279,             0.49763,             0.34712,             0.18978,            0.025486,           0.0084508,            0.041802,             0.00967,             0.00967,             0.00967
                  12,            0.038957,            0.012556,            0.059381,             0.22142,             0.75766,              0.4396,             0.22828,            0.026113,            0.007437,            0.040209,            0.009637,            0.009637,            0.009637
                  13,            0.042749,            0.011956,            0.057867,             0.44515,             0.63169,              0.4801,             0.25107,            0.024259,           0.0078282,             0.03731,            0.009604,            0.009604,            0.009604
                  14,            0.039724,            0.013052,            0.055408,             0.33326,             0.71315,              0.4991,             0.25565,            0.024341,           0.0071439,            0.035846,            0.009571,            0.009571,            0.009571
                  15,              0.0423,            0.012633,            0.057987,             0.46371,             0.69167,             0.56099,             0.36604,            0.020506,           0.0067129,            0.034536,            0.009538,            0.009538,            0.009538
                  16,            0.038415,            0.012465,            0.055446,             0.58478,             0.57403,             0.60301,             0.35291,            0.021531,           0.0071526,            0.033507,            0.009505,            0.009505,            0.009505
                  17,            0.039615,            0.012945,            0.053167,             0.44027,             0.75861,             0.65721,              0.3922,            0.022602,           0.0066455,            0.032149,            0.009472,            0.009472,            0.009472
                  18,            0.038108,            0.011923,            0.049517,             0.36818,             0.73227,             0.63267,             0.37366,            0.023414,           0.0068287,            0.030744,            0.009439,            0.009439,            0.009439
                  19,            0.040838,            0.012458,            0.051368,             0.34909,             0.66859,             0.55853,             0.23433,            0.032111,            0.006493,            0.030288,            0.009406,            0.009406,            0.009406
                  20,            0.040402,            0.012848,            0.050376,             0.53842,             0.68228,             0.70916,             0.41919,            0.022484,           0.0065968,            0.029451,            0.009373,            0.009373,            0.009373
                  21,            0.038252,             0.01168,            0.047655,             0.40548,             0.77539,             0.67239,             0.35643,            0.022937,           0.0062575,            0.028154,             0.00934,             0.00934,             0.00934
                  22,            0.040331,            0.011749,            0.045258,             0.51607,             0.73899,             0.70743,             0.36993,            0.023712,           0.0063888,             0.02686,            0.009307,            0.009307,            0.009307
                  23,            0.039118,            0.012136,            0.046195,             0.45501,             0.81692,             0.68794,             0.45281,            0.019851,           0.0062024,            0.025717,            0.009274,            0.009274,            0.009274
                  24,            0.038693,            0.011626,             0.04318,             0.49749,             0.75362,             0.71301,             0.36319,            0.023834,           0.0069651,            0.025236,            0.009241,            0.009241,            0.009241
