               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.055234,            0.018153,            0.037125,             0.22045,             0.27778,             0.17924,            0.059483,            0.035474,           0.0098368,            0.022808,           0.0091337,           0.0091337,           0.0091337
                  37,            0.059362,            0.019593,            0.036205,             0.10948,             0.38295,             0.16677,            0.043674,            0.031803,           0.0098213,            0.023067,            0.009109,            0.009109,            0.009109
                  38,            0.047598,             0.01964,            0.026673,             0.14466,             0.35159,             0.18902,            0.053441,            0.031549,           0.0097742,            0.022979,           0.0090843,           0.0090843,           0.0090843
                  39,            0.049165,            0.016563,            0.033954,             0.21831,             0.32898,             0.16655,            0.049426,            0.033165,           0.0096854,            0.023351,           0.0090595,           0.0090595,           0.0090595
                  40,            0.043235,            0.016588,            0.030723,             0.23297,             0.30398,             0.19897,            0.058551,            0.032819,           0.0096963,            0.023645,           0.0090347,           0.0090347,           0.0090347
                  41,            0.042042,            0.017573,            0.029532,             0.72139,               0.175,             0.19462,            0.063697,            0.035039,           0.0095255,            0.023171,             0.00901,             0.00901,             0.00901
                  42,            0.047716,            0.019357,            0.029374,             0.47069,              0.2558,              0.2245,            0.072447,            0.032109,           0.0092355,            0.021688,           0.0089853,           0.0089853,           0.0089853
                  43,            0.045909,             0.01732,            0.027019,             0.57437,             0.25622,             0.24567,            0.062854,            0.042078,           0.0085588,            0.021896,           0.0089605,           0.0089605,           0.0089605
                  44,             0.04382,            0.015071,            0.026469,             0.17845,             0.53693,             0.19291,            0.044058,            0.036188,           0.0080456,            0.021679,           0.0089358,           0.0089358,           0.0089358
                  45,            0.049921,            0.016137,            0.023791,             0.33007,             0.35996,             0.26557,             0.09972,            0.033417,           0.0080802,            0.022139,            0.008911,            0.008911,            0.008911
                  46,             0.06237,            0.022052,            0.029141,             0.19716,             0.28723,             0.19421,            0.059893,            0.035434,           0.0076178,            0.021645,           0.0088863,           0.0088863,           0.0088863
                  47,            0.044247,            0.016052,            0.027517,             0.30274,             0.45105,             0.27085,            0.099486,            0.033623,           0.0075698,            0.021773,           0.0088615,           0.0088615,           0.0088615
                  48,            0.043162,            0.021025,            0.025274,             0.41106,             0.34943,             0.30772,             0.14262,            0.029853,           0.0080634,            0.022393,           0.0088368,           0.0088368,           0.0088368
                  49,            0.049828,            0.016586,            0.026123,             0.26314,             0.42242,             0.27181,             0.11614,            0.029341,           0.0086174,            0.023268,            0.008812,            0.008812,            0.008812
                  50,            0.050088,            0.018019,            0.026498,              0.2955,              0.3767,             0.25591,             0.11812,             0.02875,           0.0091538,            0.026003,           0.0087872,           0.0087872,           0.0087872
                  51,            0.043497,            0.017362,            0.025899,             0.37348,             0.34834,              0.3138,             0.11146,            0.032558,           0.0088024,            0.025216,           0.0087625,           0.0087625,           0.0087625
                  52,            0.036705,            0.016501,            0.024509,             0.26621,             0.49599,             0.30544,             0.11159,            0.030305,           0.0090092,             0.02357,           0.0087378,           0.0087378,           0.0087378
                  53,            0.051938,            0.015938,            0.025422,             0.37531,             0.32879,             0.32726,            0.091263,            0.032202,           0.0086568,            0.020814,            0.008713,            0.008713,            0.008713
                  54,             0.04591,            0.017104,            0.023106,              0.4078,              0.3767,             0.36011,             0.13278,            0.029644,            0.008619,            0.020587,           0.0086882,           0.0086882,           0.0086882
                  55,            0.043014,            0.017339,            0.027079,             0.41696,             0.37233,             0.40777,             0.15106,            0.029847,           0.0086536,            0.019986,           0.0086635,           0.0086635,           0.0086635
                  56,            0.045613,            0.017783,            0.028714,             0.44379,             0.45764,             0.41793,             0.16359,            0.028468,           0.0086738,            0.018947,           0.0086388,           0.0086388,           0.0086388
                  57,            0.043885,            0.017228,            0.019756,             0.44609,             0.43199,             0.41562,             0.16655,            0.028386,            0.008625,             0.01841,            0.008614,            0.008614,            0.008614
                  58,            0.054558,            0.019919,            0.024502,             0.41197,             0.45238,             0.38257,             0.17615,            0.028764,           0.0088534,            0.017209,           0.0085893,           0.0085893,           0.0085893
                  59,            0.043542,            0.014946,              0.0227,             0.50663,             0.28523,             0.30672,             0.13439,            0.036871,           0.0088143,            0.016808,           0.0085645,           0.0085645,           0.0085645
                  60,            0.047588,            0.016021,            0.029152,             0.40009,             0.31023,              0.2802,            0.086244,            0.033227,            0.008759,            0.017331,           0.0085398,           0.0085398,           0.0085398
                  61,            0.054048,             0.01701,             0.01931,             0.37135,             0.33425,             0.27552,            0.093446,            0.036872,           0.0092324,            0.017994,            0.008515,            0.008515,            0.008515
                  62,            0.043504,            0.016034,            0.019981,             0.37789,             0.33523,               0.306,             0.12509,            0.035713,           0.0090813,            0.017102,           0.0084903,           0.0084903,           0.0084903
                  63,            0.044271,            0.017073,            0.024203,             0.50527,             0.28523,             0.33099,             0.12592,            0.035269,           0.0091513,            0.016765,           0.0084655,           0.0084655,           0.0084655
                  64,             0.04598,            0.018792,            0.022181,              0.4541,             0.31023,             0.32344,             0.13377,            0.035821,           0.0089621,            0.016114,           0.0084408,           0.0084408,           0.0084408
                  65,            0.050515,             0.01709,             0.02283,             0.19769,             0.38249,             0.25478,            0.080081,            0.038448,           0.0095006,            0.016559,            0.008416,            0.008416,            0.008416
                  66,            0.046931,            0.016923,            0.022368,             0.85498,             0.32227,             0.39062,             0.12952,            0.035627,           0.0091301,            0.015948,           0.0083913,           0.0083913,           0.0083913
                  67,            0.060668,            0.017025,            0.020025,             0.52829,             0.22433,             0.19241,             0.08307,            0.041948,           0.0089098,            0.015787,           0.0083665,           0.0083665,           0.0083665
                  68,            0.055112,            0.016502,            0.024759,             0.67126,             0.36622,             0.37357,             0.13629,            0.030759,           0.0096521,            0.015743,           0.0083418,           0.0083418,           0.0083418
                  69,            0.046548,            0.016738,            0.018592,             0.75603,             0.40565,             0.41963,             0.18955,            0.027499,           0.0093988,            0.015879,            0.008317,            0.008317,            0.008317
                  70,              0.0342,            0.014701,             0.01841,             0.83112,             0.39858,             0.42907,             0.19929,            0.029845,           0.0087527,            0.016659,           0.0082922,           0.0082922,           0.0082922
                  71,             0.04169,            0.015254,            0.016091,               0.894,             0.42195,             0.48667,             0.21816,            0.026174,           0.0086546,            0.016613,           0.0082675,           0.0082675,           0.0082675
                  72,            0.034757,            0.015045,            0.015667,             0.80259,             0.42891,             0.49099,             0.20804,            0.027069,           0.0085072,            0.015939,           0.0082428,           0.0082428,           0.0082428
                  73,            0.037648,            0.014026,            0.016438,             0.88335,             0.41821,             0.49518,             0.21352,            0.027818,           0.0084935,            0.014828,            0.008218,            0.008218,            0.008218
                  74,            0.047265,            0.016532,            0.018136,             0.70721,             0.43068,             0.46032,             0.18259,            0.031781,           0.0079464,            0.014851,           0.0081932,           0.0081932,           0.0081932
                  75,             0.04026,            0.014602,            0.017047,             0.69797,             0.39214,             0.44016,             0.16783,            0.031974,            0.008276,            0.014362,           0.0081685,           0.0081685,           0.0081685
                  76,             0.05461,            0.015377,            0.019194,             0.62089,             0.45568,              0.4702,             0.20902,             0.03197,            0.007756,            0.013289,           0.0081437,           0.0081437,           0.0081437
                  77,             0.04278,            0.013132,            0.016557,             0.69823,             0.45566,             0.50721,             0.21445,            0.028737,           0.0078346,            0.013524,            0.008119,            0.008119,            0.008119
                  78,            0.041774,              0.0142,            0.013258,             0.80458,             0.43036,             0.51534,             0.27431,            0.028135,           0.0079183,            0.012151,           0.0080942,           0.0080942,           0.0080942
                  79,             0.03901,            0.014034,            0.013469,             0.78875,             0.43062,             0.52731,             0.28822,            0.025153,           0.0079897,            0.011906,           0.0080695,           0.0080695,           0.0080695
                  80,            0.039136,            0.015495,            0.016458,             0.70422,             0.43008,             0.52419,             0.26369,             0.02528,           0.0082159,            0.011467,           0.0080447,           0.0080447,           0.0080447
                  81,            0.039327,            0.015948,            0.010705,             0.60197,             0.45334,             0.45655,             0.23462,            0.026942,           0.0083456,            0.011282,             0.00802,             0.00802,             0.00802
                  82,            0.050921,            0.016731,            0.014039,             0.79163,             0.46848,             0.54195,             0.26671,            0.026785,           0.0085666,            0.010394,           0.0079953,           0.0079953,           0.0079953
                  83,            0.042168,            0.015097,            0.012457,             0.49546,             0.43295,             0.43193,              0.1946,            0.035611,           0.0083143,             0.01066,           0.0079705,           0.0079705,           0.0079705
                  84,            0.048189,            0.015809,            0.015772,             0.43699,              0.6821,             0.51618,             0.24012,            0.029353,           0.0085346,            0.010131,           0.0079457,           0.0079457,           0.0079457
                  85,            0.040135,            0.012952,            0.009696,             0.56631,             0.61769,             0.61448,             0.29766,            0.027086,           0.0084843,           0.0098577,            0.007921,            0.007921,            0.007921
