               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10674,            0.031923,            0.049283,            0.010669,             0.03125,           0.0029649,          0.00055782,            0.075727,            0.027453,            0.035675,              0.0008,              0.0008,              0.0928
                   1,             0.09029,            0.033157,            0.043548,            0.031151,             0.03125,              0.0102,           0.0024247,            0.066694,             0.02508,            0.035803,           0.0016958,           0.0016958,            0.084696
                   2,             0.08324,            0.029741,              0.0437,            0.012279,               0.025,           0.0040652,            0.001037,            0.064429,            0.022953,            0.035531,           0.0025871,           0.0025871,            0.076587
                   3,            0.075559,            0.030279,            0.041096,            0.023377,               0.025,           0.0059082,           0.0010596,            0.061754,             0.02017,            0.034765,            0.003474,            0.003474,            0.068474
                   4,            0.065373,             0.02794,            0.039821,            0.030051,              0.1375,            0.012918,            0.003987,            0.055195,            0.018415,            0.033118,           0.0043564,           0.0043564,            0.060356
                   5,            0.065541,              0.0285,            0.046053,            0.073001,               0.025,            0.033908,            0.014279,            0.052989,            0.016186,            0.031976,           0.0052344,           0.0052344,            0.052234
                   6,            0.063006,            0.023835,             0.04026,             0.03534,             0.50568,            0.038783,            0.011679,            0.046983,            0.014165,            0.030218,           0.0061079,           0.0061079,            0.044108
                   7,            0.057821,            0.023044,            0.037274,              0.2501,              0.1375,             0.11803,            0.031806,            0.037096,            0.013135,            0.031227,            0.006977,            0.006977,            0.035977
                   8,             0.06173,            0.020775,            0.039622,            0.024226,             0.08125,            0.019473,           0.0043828,            0.042433,            0.011767,             0.03167,           0.0078416,           0.0078416,            0.027842
                   9,            0.057694,            0.022152,            0.035985,             0.43947,             0.08125,            0.050806,           0.0079391,            0.047004,            0.011512,            0.032222,           0.0087018,           0.0087018,            0.019702
                  10,            0.061997,             0.02138,            0.038087,           0.0053957,             0.39545,           0.0051089,           0.0011893,            0.041866,            0.012122,             0.03131,           0.0095574,           0.0095574,            0.011557
                  11,             0.05611,            0.019917,            0.033067,             0.04905,              0.0875,            0.021043,           0.0035055,             0.05549,             0.01003,            0.030742,           0.0097278,           0.0097278,           0.0097278
                  12,            0.076015,             0.01908,            0.037763,            0.089053,              0.0875,            0.038841,            0.010229,            0.053082,            0.010069,              0.0307,           0.0097278,           0.0097278,           0.0097278
                  13,            0.069483,            0.015776,            0.033005,            0.032393,              0.3017,            0.024362,           0.0066424,            0.052305,           0.0098871,            0.030845,            0.009703,            0.009703,            0.009703
                  14,            0.057888,            0.017248,            0.033883,            0.086326,             0.18295,            0.046512,            0.015306,            0.049464,            0.009959,            0.031076,           0.0096783,           0.0096783,           0.0096783
                  15,            0.058286,            0.018236,            0.033383,             0.06734,             0.10625,             0.02746,           0.0075031,            0.048597,           0.0098319,            0.030617,           0.0096535,           0.0096535,           0.0096535
                  16,            0.061997,            0.020514,            0.036133,              0.1459,             0.08125,            0.058404,            0.016747,            0.047785,           0.0097394,            0.030673,           0.0096288,           0.0096288,           0.0096288
                  17,            0.050065,            0.021392,            0.032753,            0.071603,             0.12116,            0.067158,            0.021042,             0.04638,            0.009403,            0.030147,            0.009604,            0.009604,            0.009604
                  18,             0.05974,            0.018273,            0.032777,            0.055807,             0.25568,            0.033539,           0.0099961,             0.04829,           0.0099674,            0.030572,           0.0095793,           0.0095793,           0.0095793
                  19,            0.054858,            0.017526,            0.037551,             0.10498,             0.15512,             0.10147,            0.032643,            0.041635,            0.010862,            0.030161,           0.0095545,           0.0095545,           0.0095545
                  20,            0.053837,            0.021429,            0.034414,             0.12108,                0.25,            0.095951,            0.023344,            0.037482,            0.011309,            0.029339,           0.0095298,           0.0095298,           0.0095298
                  21,            0.050335,            0.022295,            0.034898,             0.11162,             0.19375,             0.07985,            0.017979,            0.036929,            0.011448,            0.029093,            0.009505,            0.009505,            0.009505
                  22,             0.05033,            0.019446,            0.031825,            0.081537,             0.32898,            0.097563,            0.043818,            0.034906,            0.012495,            0.029609,           0.0094803,           0.0094803,           0.0094803
                  23,            0.044042,            0.021793,            0.030549,             0.12152,             0.21334,             0.10395,            0.024258,            0.039468,            0.011546,            0.029942,           0.0094555,           0.0094555,           0.0094555
                  24,             0.04571,            0.018659,            0.031885,             0.14519,             0.10625,            0.096954,            0.042857,            0.034386,            0.011344,            0.030804,           0.0094307,           0.0094307,           0.0094307
                  25,            0.046385,            0.018683,            0.032922,             0.57287,             0.10625,             0.11698,            0.040739,            0.035708,            0.011274,            0.030632,            0.009406,            0.009406,            0.009406
