               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1227,            0.032686,            0.029749,            0.028659,            0.025641,           0.0031756,          0.00052592,             0.11641,            0.027896,            0.027998,              0.0012,              0.0012,              0.0892
                   1,             0.11365,            0.031538,            0.027572,            0.075511,            0.025641,           0.0052326,           0.0012147,             0.11158,            0.026154,            0.024989,           0.0024938,           0.0024938,            0.077494
                   2,              0.1037,             0.03035,            0.024841,            0.011024,            0.064103,           0.0041703,          0.00073459,            0.099431,            0.025143,            0.022657,           0.0037812,           0.0037812,            0.065781
                   3,             0.09411,            0.030738,            0.018471,             0.66247,            0.012821,           0.0051182,           0.0018826,             0.10585,            0.022533,            0.021679,           0.0050621,           0.0050621,            0.054062
                   4,            0.086608,            0.028863,            0.015358,             0.54279,            0.038462,            0.011214,           0.0034425,             0.10526,            0.019099,            0.020955,           0.0063366,           0.0063366,            0.042337
                   5,            0.084466,            0.029464,            0.011489,             0.50955,            0.089744,           0.0032572,          0.00070186,            0.098151,            0.019784,            0.014796,           0.0076047,           0.0076047,            0.030605
                   6,            0.090541,            0.022658,            0.010006,             0.66571,            0.025641,            0.013421,           0.0040092,             0.10567,            0.019022,            0.012407,           0.0088663,           0.0088663,            0.018866
                   7,            0.097482,            0.020289,             0.01019,             0.56499,            0.038317,            0.017147,           0.0034877,             0.10162,            0.018378,            0.017211,           0.0098268,           0.0098268,           0.0098268
                   8,            0.093335,            0.025511,            0.011767,             0.65158,             0.10256,            0.066389,            0.017396,            0.095962,            0.016336,            0.010303,           0.0098268,           0.0098268,           0.0098268
                   9,            0.085023,            0.023504,           0.0095332,             0.57915,             0.10256,            0.051056,            0.018472,            0.086539,             0.01762,             0.01121,            0.009802,            0.009802,            0.009802
                  10,            0.081719,            0.026514,            0.010083,             0.78023,             0.17949,             0.20157,             0.06948,             0.08168,             0.01645,           0.0094228,           0.0097773,           0.0097773,           0.0097773
                  11,            0.075637,            0.021196,           0.0077365,             0.67235,             0.11538,             0.09516,            0.026982,            0.073751,            0.018263,           0.0084083,           0.0097525,           0.0097525,           0.0097525
                  12,            0.074188,            0.023086,           0.0087672,             0.63792,             0.17949,            0.089179,            0.031768,            0.084538,            0.017808,            0.013348,           0.0097278,           0.0097278,           0.0097278
                  13,            0.082485,            0.019995,           0.0069899,             0.61293,             0.19231,             0.08237,             0.02284,            0.091804,            0.014639,           0.0099706,            0.009703,            0.009703,            0.009703
                  14,             0.08405,            0.020307,           0.0063841,             0.67276,             0.11538,             0.07939,            0.025077,            0.086109,            0.017235,           0.0070515,           0.0096783,           0.0096783,           0.0096783
                  15,              0.0797,            0.024756,           0.0075376,             0.66943,             0.19231,             0.15948,             0.04738,             0.08045,            0.018193,           0.0067671,           0.0096535,           0.0096535,           0.0096535
                  16,            0.071657,            0.024116,           0.0077086,             0.71177,             0.25641,             0.21523,            0.076871,            0.073737,            0.018433,           0.0069962,           0.0096288,           0.0096288,           0.0096288
                  17,            0.074961,            0.023146,           0.0077635,             0.89264,             0.14103,             0.21574,            0.050414,            0.078246,            0.013925,           0.0064985,            0.009604,            0.009604,            0.009604
                  18,            0.075742,            0.021388,           0.0057331,             0.92829,             0.15318,              0.2441,            0.084005,            0.073625,            0.014218,            0.006618,           0.0095793,           0.0095793,           0.0095793
                  19,            0.071031,            0.019011,           0.0045468,             0.69444,             0.29372,              0.2058,            0.046688,            0.070142,            0.014719,           0.0060257,           0.0095545,           0.0095545,           0.0095545
                  20,            0.073757,            0.024105,           0.0052389,              0.7209,             0.15385,             0.18133,              0.0448,            0.070897,            0.014415,           0.0057002,           0.0095298,           0.0095298,           0.0095298
                  21,            0.069779,            0.019962,           0.0038624,             0.62775,             0.29487,             0.18121,            0.044155,             0.06907,             0.01478,           0.0049779,            0.009505,            0.009505,            0.009505
                  22,            0.068577,             0.02073,           0.0046729,             0.83149,             0.23077,             0.31295,             0.11638,            0.060697,            0.015084,           0.0053457,           0.0094803,           0.0094803,           0.0094803
                  23,            0.060705,             0.02155,           0.0046586,             0.77246,             0.30769,             0.30671,            0.097053,             0.05581,            0.014488,           0.0054807,           0.0094555,           0.0094555,           0.0094555
                  24,            0.061548,            0.017336,           0.0036235,              0.7074,             0.28205,             0.20555,            0.059411,            0.066974,            0.013892,           0.0058252,           0.0094307,           0.0094307,           0.0094307
                  25,            0.059424,            0.019656,           0.0036154,             0.71456,             0.35897,             0.27442,             0.10269,            0.052946,            0.014954,           0.0053626,            0.009406,            0.009406,            0.009406
                  26,            0.056947,            0.018991,           0.0037645,             0.85845,             0.29487,              0.3582,             0.10273,            0.056795,            0.013838,            0.004301,           0.0093813,           0.0093813,           0.0093813
                  27,            0.057554,            0.017777,           0.0037397,             0.87437,             0.26923,             0.42339,             0.16336,            0.052538,            0.013962,           0.0037228,           0.0093565,           0.0093565,           0.0093565
                  28,            0.057884,            0.017757,           0.0027099,             0.71886,             0.32051,             0.30851,            0.066275,            0.071332,            0.013257,           0.0032748,           0.0093317,           0.0093317,           0.0093317
                  29,            0.067394,            0.018543,           0.0029377,             0.17577,             0.87607,             0.36013,             0.13413,             0.05529,            0.013608,           0.0035497,            0.009307,            0.009307,            0.009307
                  30,            0.059284,             0.01639,            0.002999,             0.23261,             0.88889,             0.49876,             0.18006,            0.053619,            0.013816,           0.0038548,           0.0092823,           0.0092823,           0.0092823
                  31,            0.062475,            0.019395,           0.0028331,             0.42093,             0.47863,             0.34029,            0.095398,            0.066507,            0.012166,           0.0037498,           0.0092575,           0.0092575,           0.0092575
                  32,            0.066593,            0.016352,           0.0031527,             0.37783,             0.76496,             0.53377,             0.11685,            0.060273,             0.01287,           0.0038905,           0.0092327,           0.0092327,           0.0092327
                  33,            0.061972,            0.017743,           0.0032799,             0.51459,             0.75596,             0.64207,             0.19254,            0.052989,            0.013989,           0.0046513,            0.009208,            0.009208,            0.009208
                  34,            0.054036,            0.017366,           0.0029604,             0.56347,             0.81197,             0.76325,              0.2984,             0.04838,            0.014033,           0.0045089,           0.0091833,           0.0091833,           0.0091833
                  35,            0.055365,            0.018451,           0.0031326,              0.5568,              0.8414,             0.76348,             0.23986,            0.053654,            0.013191,           0.0042943,           0.0091585,           0.0091585,           0.0091585
                  36,            0.052762,            0.016966,           0.0033905,             0.50262,             0.78632,             0.71984,              0.3013,            0.048398,             0.01331,           0.0042146,           0.0091337,           0.0091337,           0.0091337
                  37,            0.049381,            0.020023,           0.0037031,             0.56405,             0.68803,             0.72271,             0.25436,            0.048193,            0.012935,           0.0041855,            0.009109,            0.009109,            0.009109
                  38,            0.052066,            0.016847,           0.0029153,             0.46862,             0.81116,             0.67463,             0.18101,            0.051465,            0.012704,           0.0039257,           0.0090843,           0.0090843,           0.0090843
                  39,            0.050149,            0.015682,           0.0026167,             0.50078,             0.63675,              0.5373,             0.19575,            0.053794,            0.012373,           0.0033935,           0.0090595,           0.0090595,           0.0090595
                  40,            0.055338,            0.014676,           0.0025441,             0.74138,             0.63667,             0.67892,              0.2456,            0.052856,            0.012125,           0.0036511,           0.0090347,           0.0090347,           0.0090347
                  41,            0.045656,            0.015691,           0.0026701,             0.60727,             0.71368,             0.73359,              0.2894,            0.045994,            0.012023,           0.0029113,             0.00901,             0.00901,             0.00901
                  42,            0.050028,            0.014468,           0.0022936,             0.61855,             0.75609,             0.72948,             0.27793,            0.050033,            0.011899,           0.0033628,           0.0089853,           0.0089853,           0.0089853
                  43,             0.04722,               0.018,           0.0028043,             0.80692,             0.70085,             0.82281,             0.38242,            0.043025,            0.011735,           0.0026352,           0.0089605,           0.0089605,           0.0089605
                  44,            0.046017,            0.015388,           0.0018527,             0.49653,             0.84566,             0.66424,             0.21299,            0.054494,            0.011329,           0.0023066,           0.0089358,           0.0089358,           0.0089358
                  45,            0.050459,            0.019065,           0.0029746,             0.72198,             0.70107,             0.78072,             0.32961,             0.04158,            0.012265,           0.0024403,            0.008911,            0.008911,            0.008911
                  46,            0.042072,             0.01774,           0.0030154,             0.73961,              0.7541,              0.7907,             0.29688,            0.044567,            0.012039,           0.0026478,           0.0088863,           0.0088863,           0.0088863
                  47,            0.046389,            0.013951,           0.0016846,             0.67028,             0.78632,             0.76423,              0.3031,            0.043864,            0.012452,            0.003493,           0.0088615,           0.0088615,           0.0088615
                  48,            0.045975,            0.016022,           0.0025051,             0.61976,             0.61111,             0.65298,             0.28271,             0.05056,            0.011816,           0.0037964,           0.0088368,           0.0088368,           0.0088368
                  49,            0.047516,            0.015304,           0.0021382,             0.81414,             0.73504,             0.79468,             0.38359,            0.040177,            0.012764,             0.00413,            0.008812,            0.008812,            0.008812
                  50,            0.041688,            0.016763,           0.0020763,             0.53317,             0.85445,             0.70695,             0.26869,            0.042681,            0.011989,           0.0032786,           0.0087872,           0.0087872,           0.0087872
                  51,            0.043658,            0.015505,           0.0018477,             0.62335,             0.82894,             0.77141,             0.31818,            0.042786,            0.011998,           0.0029539,           0.0087625,           0.0087625,           0.0087625
                  52,            0.038689,            0.016818,           0.0020262,             0.81646,             0.82185,             0.86068,             0.42828,            0.035586,            0.012244,           0.0036102,           0.0087378,           0.0087378,           0.0087378
                  53,            0.035999,            0.015531,           0.0017521,             0.65533,             0.84188,             0.81063,             0.34183,            0.040488,            0.011809,            0.003794,            0.008713,            0.008713,            0.008713
                  54,            0.040216,            0.015498,           0.0021447,              0.7514,             0.78632,             0.84563,             0.43192,            0.037877,            0.011511,           0.0041074,           0.0086882,           0.0086882,           0.0086882
                  55,            0.037952,            0.014958,           0.0016935,             0.58572,             0.66228,             0.65427,             0.24143,            0.046977,            0.011409,             0.00336,           0.0086635,           0.0086635,           0.0086635
                  56,            0.047181,             0.01607,            0.001692,             0.48113,             0.81197,             0.63547,              0.2472,            0.041858,            0.011353,           0.0030576,           0.0086388,           0.0086388,           0.0086388
                  57,            0.041674,            0.015216,           0.0015997,             0.86108,             0.67521,             0.80148,              0.3677,            0.043431,            0.010862,            0.002331,            0.008614,            0.008614,            0.008614
                  58,            0.044448,            0.014521,           0.0022598,             0.85667,             0.62393,             0.78932,             0.37697,            0.037205,             0.01133,            0.002782,           0.0085893,           0.0085893,           0.0085893
                  59,            0.037859,            0.014169,           0.0017073,             0.57143,             0.62363,             0.69001,             0.31785,            0.042155,            0.011301,           0.0028522,           0.0085645,           0.0085645,           0.0085645
                  60,            0.041461,            0.014269,           0.0016021,             0.68359,             0.62344,              0.7172,             0.33175,             0.04132,            0.011509,           0.0028552,           0.0085398,           0.0085398,           0.0085398
                  61,            0.042942,            0.012399,           0.0017461,               0.749,             0.67521,             0.78811,             0.40946,            0.038148,            0.011471,           0.0028428,            0.008515,            0.008515,            0.008515
                  62,            0.041951,            0.015315,           0.0021004,             0.56939,             0.79487,             0.76251,             0.36127,             0.04016,            0.010246,           0.0021121,           0.0084903,           0.0084903,           0.0084903
                  63,            0.040077,            0.015113,            0.001769,             0.67548,             0.87607,             0.83815,             0.44808,            0.035399,            0.010202,           0.0020061,           0.0084655,           0.0084655,           0.0084655
                  64,            0.038752,            0.013836,           0.0024568,             0.87214,             0.68803,             0.85339,              0.4228,            0.034802,            0.010263,           0.0021061,           0.0084408,           0.0084408,           0.0084408
                  65,            0.038012,            0.015112,           0.0018975,             0.64402,              0.9188,             0.81708,             0.40063,            0.036765,            0.010356,           0.0020753,            0.008416,            0.008416,            0.008416
                  66,            0.035062,            0.015018,           0.0018225,             0.82695,             0.78829,             0.88879,              0.4886,             0.03709,            0.010259,           0.0022767,           0.0083913,           0.0083913,           0.0083913
                  67,            0.039426,            0.012482,           0.0020877,             0.75717,             0.54255,             0.72859,             0.32764,            0.042373,            0.010253,           0.0023278,           0.0083665,           0.0083665,           0.0083665
                  68,             0.03854,            0.014392,           0.0016066,             0.74455,             0.86325,             0.86902,             0.47464,            0.035775,            0.010433,           0.0018856,           0.0083418,           0.0083418,           0.0083418
                  69,            0.036495,            0.013011,           0.0022154,             0.78654,             0.83653,             0.86518,             0.43428,            0.036244,            0.010583,           0.0019288,            0.008317,            0.008317,            0.008317
                  70,            0.035603,            0.013519,           0.0017729,             0.73731,             0.89965,             0.84417,             0.43169,            0.036335,            0.010382,           0.0020002,           0.0082922,           0.0082922,           0.0082922
                  71,            0.039203,            0.015421,           0.0013971,             0.55856,              0.7735,             0.70581,             0.28661,            0.044184,            0.010426,            0.002316,           0.0082675,           0.0082675,           0.0082675
                  72,            0.039932,            0.012967,           0.0012221,             0.75794,             0.70538,             0.80435,             0.45305,            0.037846,            0.010972,           0.0029704,           0.0082428,           0.0082428,           0.0082428
                  73,             0.03553,            0.013131,           0.0013287,             0.85266,             0.71795,              0.8567,              0.4316,            0.035379,            0.011083,           0.0030555,            0.008218,            0.008218,            0.008218
                  74,            0.034717,            0.014829,           0.0014095,             0.75069,             0.86699,             0.87247,             0.46796,            0.036879,            0.010864,           0.0022907,           0.0081932,           0.0081932,           0.0081932
                  75,            0.037126,            0.013598,           0.0024207,             0.71835,             0.72162,             0.74082,             0.28804,             0.04197,            0.010222,           0.0026728,           0.0081685,           0.0081685,           0.0081685
                  76,            0.040725,            0.016149,           0.0011805,             0.66136,             0.79914,             0.75973,             0.34849,            0.040878,            0.011434,           0.0039718,           0.0081437,           0.0081437,           0.0081437
                  77,            0.035899,            0.014652,            0.001295,             0.75646,             0.72818,             0.81115,             0.38212,            0.046036,            0.010026,           0.0046933,            0.008119,            0.008119,            0.008119
                  78,            0.042305,            0.014928,           0.0013195,             0.70378,             0.88574,              0.8205,             0.38085,            0.040638,           0.0096832,           0.0036348,           0.0080942,           0.0080942,           0.0080942
                  79,            0.037108,            0.014648,            0.001577,             0.78703,             0.88017,             0.84693,             0.44305,            0.035341,           0.0098207,           0.0041543,           0.0080695,           0.0080695,           0.0080695
                  80,            0.034355,            0.015155,           0.0014942,             0.81747,             0.75641,              0.8339,              0.4866,            0.035744,            0.010147,           0.0041345,           0.0080447,           0.0080447,           0.0080447
                  81,            0.034534,            0.013028,           0.0014496,             0.80771,             0.83715,             0.85237,             0.48532,            0.032581,            0.010169,           0.0040251,             0.00802,             0.00802,             0.00802
                  82,            0.034824,            0.014421,           0.0016291,             0.63779,             0.75214,             0.70908,             0.36055,            0.038434,            0.010892,           0.0034281,           0.0079953,           0.0079953,           0.0079953
                  83,             0.03966,            0.012635,           0.0019142,               0.671,             0.70904,             0.70896,             0.40429,            0.035024,              0.0111,           0.0029158,           0.0079705,           0.0079705,           0.0079705
                  84,            0.034389,            0.014541,           0.0016883,             0.73208,             0.87607,             0.86702,             0.43734,            0.038672,            0.010133,           0.0025599,           0.0079457,           0.0079457,           0.0079457
                  85,            0.038254,            0.012946,           0.0015717,             0.91603,             0.68376,             0.77115,             0.40761,            0.039041,            0.010218,           0.0027915,            0.007921,            0.007921,            0.007921
                  86,            0.034601,            0.014437,           0.0012251,              0.9491,              0.7265,             0.88638,             0.43912,            0.036362,            0.010093,           0.0026242,           0.0078963,           0.0078963,           0.0078963
                  87,            0.036335,             0.01209,           0.0014043,             0.83566,             0.80737,             0.87625,              0.3945,            0.038906,           0.0099912,           0.0024966,           0.0078715,           0.0078715,           0.0078715
                  88,            0.036619,            0.014784,           0.0012382,             0.75651,             0.85037,             0.87262,             0.47355,            0.035365,            0.010191,           0.0024601,           0.0078467,           0.0078467,           0.0078467
                  89,            0.033119,            0.013064,           0.0011134,             0.77669,             0.76824,             0.80875,             0.47574,            0.034913,            0.010017,           0.0023342,            0.007822,            0.007822,            0.007822
